Stoller Wholesale,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,"Product Location Report  WAREHOUSE
All Items Sorted by Item Number",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"QOH
Case/Bot",,
Item Nmbr,,Item Description,,,,Size,,BPC,,FF,,WH1,,WH2,,WH3,,BOT,,,QOO
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
436010040,,80 STRONG STRAIGHT BOURBON WHISKEY,,,,750M,,12,,,,44-09-1,,,,,,13-72-4,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
471009040,,9 MILE ROAD CABERNET SAUVIGNON 05 D,,,,750M,,12,,,,,,,,,,,4 / 11,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
471010040,,"9 MILE ROAD SHIRAZ 2010 ""D""",,,,750M,,12,,,,,,,,,,,2 / 9,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
172000140,,ABARBANEL BEAUJOLAIS VILLAGES 12,,,,750M,,12,,,,45-17-3,,,,,,,3 / 3,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
172000340,,ABARBANEL CABERNET SAUVIGNON 11,,,,750M,,12,,,,44-23-4,,,,,,,13 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
172000240,,ABARBANEL CABERNET/MERLOT 11,,,,750M,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
615001040,,ABARBANEL CHARDONNAY 2010,,,,750ML,,12,,,,44-10-1,,,,,,,9 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
194000241,,"ABBEY OF SAINT HILAIRE CHARDONNAY 05 ""D""",,,,750M,,6,,,,52-09-2,,,,,,,7 / 5,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
194000441,,"ABBEY OF SAINT HILAIRE RED 04 ""D""",,,,750M,,6,,,,,,46-08-1,,,,,1 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
194000641,,"ABBEY SAINT HILAIRE PINOT NOIR 06 ""D""",,,,750M,,6,,,,,,46-10-1,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
246000140,,ABRAZO TEMPRANILLO ( E ),,,,750ML,,12,,08-14-4,,40-55-3,,47-13-5,,45-46-1,,15-36-2,77 / 11,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
308051040,,ABUNDANCE ABUNDANTLY RICH RED 2004,,,,750M,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
